# Русская строка<TAB>английская. Полноту проверяет i18n::tests::dictionary_matches_sources.
15 мин	15 min
программа запущена из установки — сначала закройте её	the app is running from the install — close it first
текущая	current
установка удалена	installation removed
установлена	installed
CI соберёт и опубликует выпуск	CI builds and publishes the release
CI собирает выпуск…	CI is building the release…
Cargo.toml не прочитан	Cargo.toml could not be read
Cargo.toml: версия	Cargo.toml: version
GitHub Release с архивами и SHA256SUMS	GitHub Release with archives and SHA256SUMS
Push не отменить.	A push cannot be undone.
Workflow выпуска нет: Anvil сам соберёт, упакует по соглашению и создаст GitHub Release.	No release workflow: Anvil builds, packages by the convention and creates the GitHub Release itself.
origin не на GitHub: архивы по соглашению останутся в папке сборки.	origin is not on GitHub: the conventional archives stay in the build folder.
Архивы готовы	Archives ready
В проекте есть workflow выпуска: Anvil поставит тег, а соберёт и опубликует CI.	The project has a release workflow: Anvil pushes the tag, CI builds and publishes.
Версия не найдена в Cargo.toml	Version not found in Cargo.toml
Версия → тег → выпуск, по шагам и с подтверждением	Version → tag → release, step by step and with confirmation
Ветка совпадает с origin	Branch matches origin
Выпуск не удался	Release failed
Выпуск опубликован	Release published
Выпуск так и не появился	The release never showed up
Выпускаю	Releasing
Выпуск…	Release…
Выпустить	Release
Далее	Next
Жду, пока GitHub запустит сборку…	Waiting for GitHub to start the build…
Закрыть	Close
Назад	Back
Открыть на GitHub	Open on GitHub
По порядку	In order
Проверить заново	Check again
Рабочая копия чистая	Working copy is clean
Сборка выпуска упала	The release build failed
Сборка — до коммита и тега: если она не пройдёт, наружу ничего не уйдёт, а правки Cargo.toml останутся в рабочей копии.	The build runs before the commit and tag: if it fails, nothing leaves the machine, and the Cargo.toml edits stay in the working copy.
Своя	Custom
Такую версию не выпустить	This version cannot be released
Тег и выпуск увидят все.	Everyone will see the tag and the release.
Тег уже есть	The tag already exists
Токен GitHub	GitHub token
Черновик — из коммитов после прошлого тега. Это тело GitHub Release и «Что нового» в программах.	Drafted from the commits since the last tag. This is the GitHub Release body and "What's new" in the apps.
Что поменяется	What changes
Что упаковать	What to package
без токена GitHub выпуск не создать	no release without a GitHub token
версия должна быть больше	the version must be greater than
версия — три числа: 1.2.3 или 1.2.3-beta.1	a version is three numbers: 1.2.3 or 1.2.3-beta.1
вместе с тегом уйдут ещё коммитов:	commits pushed along with the tag:
выпуск	release
выпуск создаст Anvil	Anvil will create the release
выпущен	released
ждёт решения о занятом exe	waiting for a decision about the busy exe
загляните в Actions	check Actions
закоммитьте или уберите	commit or discard them
идёт…	running…
не прошло — подробности в логе	failed — details in the log
незакоммиченного нет	nothing uncommitted
нужен git pull	git pull needed
папка не под git	not a git folder
подробности в логе	details in the log
позади на	behind by
последний тег	last tag
проверено	checked
прошло тестов:	tests passed:
тег уже на GitHub — поправьте и перезапустите workflow	the tag is already on GitHub — fix it and rerun the workflow
Ход	Progress
Anvil спросит crates.io, что обновилось, и сверит Cargo.lock с базой уязвимостей RustSec.	Anvil will ask crates.io what's new and check Cargo.lock against the RustSec advisory database.
Cargo.toml: anvil-ui и anvil-update — тег	Cargo.toml: anvil-ui and anvil-update — tag
Rust и зависимости	Rust and dependencies
RustSec	RustSec
cargo update — только версии в рамках требований Cargo.toml	cargo update — only versions within the Cargo.toml requirements
cargo update, потом тесты; если красно — Cargo.lock вернётся как был	cargo update, then tests; if red, Cargo.lock goes back as it was
crates.io не ответил	crates.io did not answer
workflow выпуска: rust-release.yml@	release workflow: rust-release.yml@
Всё уже на последних совместимых версиях.	Everything is on the latest compatible versions.
Где разошлись версии	Where versions diverge
Держат требования других пакетов:	Held back by other packages' requirements:
Ещё не проверяли	Not checked yet
Зависимости	Dependencies
Зависимости ещё не проверены	Dependencies not checked yet
Набор Anvil	Anvil kit
Набор Anvil в программах	Anvil kit in the apps
Ни одна программа пока не берёт набор с GitHub (или зависимости ещё не проверены).	No app takes the kit from GitHub yet (or dependencies aren't checked yet).
Новые мажорные версии	New major versions
Обновить Rust	Update Rust
Обновить Rust?	Update Rust?
Обновить совместимые	Update compatible
Обновить совместимые зависимости в	Update compatible dependencies in
Общие прямые зависимости у программ одних и тех же версий.	Shared direct dependencies are on the same versions everywhere.
Обычно помогает «Обновить совместимые»; если исправление только в новой мажорной версии — обновить её руками.	"Update compatible" usually fixes it; if the fix is only in a new major version, update it by hand.
Перевести	Move
По цепочке:	Transitive:
Поднять до	Move to
Проверить	Check
Проверить снова	Check again
Проверяю…	Checking…
Сами не обновляются: API мог поменяться. Посмотрите, что нового, и поднимите руками.	Not updated automatically: the API may have changed. See what's new and update by hand.
Совместимые обновления	Compatible updates
Спрашиваю rustup…	Asking rustup…
Спросить crates.io и сверить с базой RustSec заново	Ask crates.io and check against RustSec again
Тулчейн	Toolchain
У прямых зависимостей мажорных обновлений нет.	No major updates for direct dependencies.
заметка	notice
изменения останутся в рабочей копии — закоммитьте их, когда посмотрите	the changes stay in the working copy — commit them once you've looked
исправления пока нет	no fix yet
исправлено:	fixed in:
коммит	commit
не поддерживается	unmaintained
не собралось или тесты не прошли — все файлы вернутся как были	if it doesn't build or tests fail, all files go back as they were
небезопасно	unsound
с устаревшими пакетами	with outdated packages
с уязвимостями	with vulnerabilities
сборки, которые идут в это время, лучше дождаться	better let running builds finish first
свежий	up to date
тесты не прошли — Cargo.lock вернётся как был	if tests fail, Cargo.lock goes back as it was
уязвимость	vulnerability
что нового	what's new
Обновить зависимости	Update dependencies
Amber не стоит	Amber not installed
Добавить папку с проектами…	Add a folder with projects…
Добавьте папку с проектами в настройках.	Add a folder with projects in the settings.
Запустить установленный amber-admin	Launch the installed amber-admin
Карточка проекта	Project card
Найти проект или действие…	Find a project or action…
Обзор	Overview
Обзор проектов	Projects overview
Обновить всё и спросить origin	Refresh everything and ask origin
Открыть amber-admin	Open amber-admin
Перейти	Go to
Проверить зависимости	Check dependencies
Проверить зависимости всех проектов	Check dependencies of all projects
Проверить обновления Anvil	Check for Anvil updates
Проверить форматирование	Check formatting
Проект	Project
Проект или действие…	Project or action…
Серверы Amber	Amber servers
Собрать debug	Build debug
Собрать release	Build release
Собрать и запустить amber-admin из проекта	Build and run amber-admin from the project
Уведомление Windows, если задача шла дольше 15 с, а окно Anvil было не в фокусе.	A Windows notification when a task took over 15 s and the Anvil window was not focused.
Уведомлять о конце долгих задач	Notify when long tasks finish
в сети	online
не проверен	not checked
недоступен	unreachable
работает	running
сводка не читается	summary is unreadable
сводки нет — проверьте серверы в amber-admin	no summary yet — check the servers in amber-admin
серверов в amber-admin нет	no servers in amber-admin
служба остановлена	service stopped
впереди origin	ahead of origin
